7F	81	00	00
7F	80	00	00
7F	81	00	00
7F	80	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
84	81	00	00
7F	81	00	00
84	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
84	81	00	00
7E	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
84	81	00	00
7E	80	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
84	81	00	00
7F	81	00	00
7F	81	00	00
84	81	00	00
7E	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
84	81	00	00
7F	80	00	00
7F	81	00	00
85	81	00	00
7E	81	00	00
7F	81	00	00
7F	81	00	00
84	81	00	00
7E	81	00	00
7F	81	00	00
7E	81	00	00
7F	81	00	00
7F	80	00	00
7F	81	00	00
84	80	00	00
7F	81	00	00
84	80	00	00
80	81	00	00
7F	81	00	00
84	81	00	00
80	80	00	00
7F	81	00	00
84	81	00	00
80	81	00	00
7F	81	00	00
84	80	00	00
80	81	00	00
7F	81	00	00
80	81	00	00
7F	80	00	00
80	81	00	00
80	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	80	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
80	81	00	00
7E	81	00	00
80	80	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
7E	81	00	00
80	81	00	00
7F	81	00	00
7F	80	00	00
7F	81	00	00
7F	80	00	00
7F	81	00	00
7F	81	00	00
7F	80	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
7E	81	00	00
7F	81	00	00
80	81	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
7F	80	00	00
7F	80	00	00
7E	80	00	00
7E	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	80	00	00
7F	80	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7E	81	00	00
7F	81	00	00
7E	81	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
7E	81	00	00
80	81	00	00
7F	80	00	00
7F	81	00	00
7F	80	00	00
7F	80	00	00
80	80	00	00
7F	80	00	00
80	81	00	00
7F	81	00	00
7E	81	00	00
80	81	00	00
7F	81	00	00
80	81	00	00
7F	80	00	00
80	80	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
7F	81	00	00
80	81	00	00
80	80	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7E	81	00	00
80	81	00	00
80	81	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	80	00	00
7F	81	00	00
80	80	00	00
7F	81	00	00
80	80	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7E	81	00	00
80	81	00	00
7E	80	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	80	00	00
7F	81	00	00
80	80	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
80	81	00	00
80	81	00	00
80	81	00	00
7F	81	00	00
80	81	00	00
80	81	00	00
7F	81	00	00
7F	80	00	00
7F	81	00	00
7E	81	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
80	81	00	00
80	80	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7E	81	00	00
7F	81	00	00
7F	80	00	00
80	81	00	00
7F	81	00	00
80	81	00	00
80	81	00	00
7F	81	00	00
7E	81	00	00
7F	81	00	00
80	81	00	00
80	81	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
80	81	00	00
7F	81	00	00
7E	81	00	00
80	80	00	00
7F	81	00	00
7F	81	00	00
7E	80	00	00
80	81	00	00
81	81	00	00
7F	81	00	00
7F	81	00	00
7E	81	00	00
7F	80	00	00
7E	81	00	00
80	80	00	00
7F	81	00	00
80	81	00	00
80	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7E	81	00	00
7F	81	00	00
7F	80	00	00
7F	81	00	00
80	80	00	00
7F	81	00	00
7E	81	00	00
7E	80	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	81	00	00
7F	80	00	00
80	81	00	00
7F	81	00	00
7E	80	00	00
80	81	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
7F	80	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
7E	80	00	00
7F	81	00	00
7F	81	00	00
80	81	00	00
80	81	00	00
80	81	00	00
7F	81	00	00
7F	80	00	00
7F	81	00	00
